epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,187515,0.94448,0.70943,1.05987,0.94386,0.8778,0.94293,0.77192,0.70305,0.57369,0.94163,0.008581,0.008581,0.008581
45,191905,0.93975,0.69283,1.06568,0.95785,0.87987,0.94758,0.7858,0.68575,0.55701,0.93841,0.008548,0.008548,0.008548
46,196333,0.94565,0.7012,1.07066,0.91689,0.87371,0.93584,0.77681,0.68305,0.60119,0.93734,0.008515,0.008515,0.008515
47,200742,0.94624,0.69623,1.06132,0.93391,0.87867,0.94176,0.79276,0.65349,0.52943,0.92943,0.008482,0.008482,0.008482
48,205237,0.91929,0.66749,1.05043,0.89034,0.80477,0.9026,0.75768,0.68618,0.71613,0.9349,0.008449,0.008449,0.008449
49,209642,0.93368,0.68253,1.06111,0.92721,0.85843,0.92902,0.77811,0.66364,0.73759,0.93124,0.008416,0.008416,0.008416
50,214083,0.91381,0.68148,1.05223,0.91746,0.8721,0.94208,0.79672,0.64097,0.53303,0.92282,0.008383,0.008383,0.008383
51,218548,0.90998,0.65937,1.04878,0.94748,0.8503,0.94037,0.76819,0.71191,0.56576,0.94122,0.00835,0.00835,0.00835
52,223020,0.91604,0.66441,1.05071,0.94341,0.85465,0.93573,0.77522,0.67863,0.61589,0.93121,0.008317,0.008317,0.008317
53,227505,0.91919,0.66795,1.0517,0.94784,0.88373,0.95223,0.79432,0.68264,0.5276,0.93666,0.008284,0.008284,0.008284
54,231907,0.89929,0.64744,1.05096,0.94417,0.84928,0.93673,0.78343,0.67408,0.55939,0.9335,0.008251,0.008251,0.008251
55,236417,0.90206,0.64654,1.05201,0.94942,0.83068,0.93789,0.77898,0.66842,0.56819,0.9303,0.008218,0.008218,0.008218
56,240930,0.89521,0.6609,1.03707,0.9496,0.88813,0.95387,0.80872,0.63243,0.47868,0.9149,0.008185,0.008185,0.008185
57,245413,0.91011,0.6544,1.04882,0.9534,0.87043,0.94643,0.79839,0.63405,0.51996,0.91972,0.008152,0.008152,0.008152
58,250004,0.89239,0.6545,1.03947,0.94543,0.86083,0.94238,0.779,0.71477,0.56237,0.9395,0.008119,0.008119,0.008119
59,254673,0.90654,0.64396,1.04761,0.96145,0.88125,0.95036,0.8137,0.6065,0.50408,0.9129,0.008086,0.008086,0.008086
60,259066,0.89805,0.62675,1.04249,0.95481,0.86912,0.94778,0.80428,0.61615,0.50758,0.91659,0.008053,0.008053,0.008053
61,263437,0.89127,0.64328,1.03364,0.94034,0.8847,0.95188,0.81255,0.60928,0.50342,0.90598,0.00802,0.00802,0.00802
62,267840,0.89049,0.63122,1.03828,0.93977,0.85033,0.93224,0.78554,0.62868,0.61462,0.91419,0.007987,0.007987,0.007987
63,272247,0.88926,0.63753,1.04508,0.93596,0.87006,0.95076,0.80826,0.61905,0.50636,0.91046,0.007954,0.007954,0.007954
64,276741,0.88764,0.61676,1.03796,0.96148,0.88068,0.95637,0.8126,0.62814,0.47522,0.91031,0.007921,0.007921,0.007921
